tenBlock,timeLimit,coinCount
1,10,20
2,9,30
3,8,40
4,7,50
5,6,60
6,5.5,70
7,5.5,80
8,5,90
9,5,100
10,4.5,110
11,4.5,120
12,4,130
13,4,140
14,4,150
15,4,160
16,4,170
17,4,180
18,4,190
19,4,200
20,4,210
21,4,220
22,4,230
23,4,240
24,4,250
25,4,260
26,4,270
27,4,280
28,4,290
29,4,300
30,4,310
31,4,320
32,4,330
33,4,340
34,4,350
35,4,360
36,4,370
37,4,380
38,4,390
39,4,400
40,4,410
41,4,420
42,4,430
43,4,440
44,4,450
45,4,460
46,4,470
47,4,480
48,4,490
49,4,500
50,4,510
51,4,520
52,4,530
53,4,540
54,4,550
55,4,560
56,4,570
57,4,580
58,4,590
59,4,600
60,4,610
61,4,620
62,4,630
63,4,640
64,4,650
65,4,660
66,4,670
67,4,680
68,4,690
69,4,700
70,4,710
71,4,720
72,4,730
73,4,740
74,4,750
75,4,760
76,4,770
77,4,780
78,4,790
79,4,800
80,4,810
81,4,820
82,4,830
83,4,840
84,4,850
85,4,860
86,4,870
87,4,880
88,4,890
89,4,900
90,4,910
91,4,920
92,4,930
93,4,940
94,4,950
95,4,960
96,4,970
97,4,980
98,4,990
99,4,1000
100,4,1010
101,4,1020
102,4,1030
103,4,1040
104,4,1050
105,4,1060
106,4,1070
107,4,1080
108,4,1090
109,4,1100
110,4,1110
111,4,1120
112,4,1130
113,4,1140
114,4,1150
115,4,1160
116,4,1170
117,4,1180
118,4,1190
119,4,1200
120,4,1210
121,4,1220
122,4,1230
123,4,1240
124,4,1250
125,4,1260
126,4,1270
127,4,1280
128,4,1290
129,4,1300
130,4,1310
131,4,1320
132,4,1330
133,4,1340
134,4,1350
135,4,1360
136,4,1370
137,4,1380
138,4,1390
139,4,1400
140,4,1410
141,4,1420
142,4,1430
143,4,1440
144,4,1450
145,4,1460
146,4,1470
147,4,1480
148,4,1490
149,4,1500
150,4,1510
151,4,1520
152,4,1530
153,4,1540
154,4,1550
155,4,1560
156,4,1570
157,4,1580
158,4,1590
159,4,1600
160,4,1610
161,4,1620
162,4,1630
163,4,1640
164,4,1650
165,4,1660
166,4,1670
167,4,1680
168,4,1690
169,4,1700
170,4,1710
171,4,1720
172,4,1730
173,4,1740
174,4,1750
175,4,1760
176,4,1770
177,4,1780
178,4,1790
179,4,1800
180,4,1810
181,4,1820
182,4,1830
183,4,1840
184,4,1850
185,4,1860
186,4,1870
187,4,1880
188,4,1890
189,4,1900
190,4,1910
191,4,1920
192,4,1930
193,4,1940
194,4,1950
195,4,1960
196,4,1970
197,4,1980
198,4,1990
199,199,2000
200,200,2010
