tenBlock,timeLimit,coinCount
1,10,30
2,9,30
3,9,30
4,8,30
5,8,30
6,8,30
7,7,30
8,7,30
9,7,30
10,7,30
11,6,30
12,6,30
13,6,30
14,6,30
15,6,30
16,5.5,30
17,5.5,30
18,5.5,30
19,5.5,30
20,5.5,30
21,5.5,30
22,5.4,30
23,5.4,30
24,5.4,30
25,5.4,30
26,5.4,30
27,5.4,30
28,5.4,30
29,5.3,30
30,5.3,30
31,5.3,30
32,5.3,30
33,5.3,30
34,5.3,30
35,5.3,30
36,5.3,30
37,5.2,30
38,5.2,30
39,5.2,30
40,5.2,30
41,5.2,30
42,5.2,30
43,5.2,30
44,5.2,30
45,5.2,30
46,5.1,30
47,5.1,30
48,5.1,30
49,5.1,30
50,5.1,30
51,5.1,30
52,5.1,30
53,5.1,30
54,5.1,30
55,5.1,30
56,5,30
57,5,30
58,5,30
59,5,30
60,5,30
61,5,30
62,5,30
63,5,30
64,5,30
65,5,30
66,5,30
67,4.9,30
68,4.9,30
69,4.9,30
70,4.9,30
71,4.9,30
72,4.9,30
73,4.9,30
74,4.9,30
75,4.9,30
76,4.9,30
77,4.9,30
78,4.9,30
79,4.8,30
80,4.8,30
81,4.8,30
82,4.8,30
83,4.8,30
84,4.8,30
85,4.8,30
86,4.8,30
87,4.8,30
88,4.8,30
89,4.8,30
90,4.8,30
91,4.8,30
92,4.7,30
93,4.7,30
94,4.7,30
95,4.7,30
96,4.7,30
97,4.7,30
98,4.7,30
99,4.7,30
100,4.7,30
101,4.7,30
102,4.7,30
103,4.7,30
104,4.7,30
105,4.7,30
106,4.6,30
107,4.6,30
108,4.6,30
109,4.6,30
110,4.6,30
111,4.6,30
112,4.6,30
113,4.6,30
114,4.6,30
115,4.6,30
116,4.6,30
117,4.6,30
118,4.6,30
119,4.6,30
120,4.6,30
121,4.5,30
122,4.5,30
123,4.5,30
124,4.5,30
125,4.5,30
126,4.5,30
127,4.5,30
128,4.5,30
129,4.5,30
130,4.5,30
131,4.5,30
132,4.5,30
133,4.5,30
134,4.5,30
135,4.5,30
136,4.5,30
137,4.5,30
138,4.5,30
139,4.5,30
140,4.5,30
141,4.5,30
142,4.5,30
143,4.5,30
144,4.5,30
145,4.5,30
146,4.5,30
147,4.5,30
148,4.5,30
149,4.5,30
150,4.5,30
151,4.5,30
152,4.5,30
153,4.5,30
154,4.5,30
155,4.5,30
156,4.5,30
157,4.5,30
158,4.5,30
159,4.5,30
160,4.5,30
161,4.5,30
162,4.5,30
163,4.5,30
164,4.5,30
165,4.5,30
166,4.5,30
167,4.5,30
168,4.5,30
169,4.5,30
170,4.5,30
171,4.5,30
172,4.5,30
173,4.5,30
174,4.5,30
175,4.5,30
176,4.5,30
177,4.5,30
178,4.5,30
179,4.5,30
180,4.5,30
181,4.5,30
182,4.5,30
183,4.5,30
184,4.5,30
185,4.5,30
186,4.5,30
187,4.5,30
188,4.5,30
189,4.5,30
190,4.5,30
191,4.5,30
192,4.5,30
193,4.5,30
194,4.5,30
195,4.5,30
196,4.5,30
197,4.5,30
198,4.5,30
199,4.5,30
200,4.5,30
